station_id,latitude,longitude,district_id
6001,39.226534,117.185582,601
6002,39.078575,117.090225,602
6003,39.097003,117.151144,603
6004,39.110683,117.244978,604
6005,39.119988,117.188737,605
6006,39.134453,117.268666,604
6007,39.138249,117.003922,602
6008,39.165838,117.144256,606
6010,39.092699,117.201676,607
6011,39.172125,117.189702,608
6012,38.984566,117.373981,609
6013,39.151429,117.374754,610
6014,39.087569,117.314156,610
6015,40.047066,117.445221,611
6016,39.718542,117.307892,612
6017,39.521521,117.349777,612
6019,39.247742,117.791805,613
6020,39.163609,117.765026,609
6021,38.845188,116.779604,614
6022,39.035119,117.708035,609
6023,39.021217,117.650914,615
6024,38.84198,117.456722,609
6025,38.943255,116.914829,614
6026,38.920287,117.156657,614
6027,39.375577,117.044563,615
6028,39.097,117.151,603
6040,39.384054,117.04264,616
